Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1761173984,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1761173985,50,,Aggregated,0.000000,0.000000,750,900,920,940,940,940,940,940,940,940,940,10,0,740.0,807.537959999172,708.9229000121122,940.9311000054004,571888.0
1761173986,50,,Aggregated,0.000000,0.000000,940,1700,1700,1700,1900,1900,2000,2000,2000,2000,2000,21,0,940.0,1237.4081428570207,8.078700004261918,1984.4663000112632,544686.3333333334
1761173987,50,,Aggregated,0.000000,0.000000,1700,1900,2000,2600,2800,2800,2800,2800,2800,2800,2800,31,0,1700.0,1453.6917548389135,4.935499993734993,2847.4969000089914,498180.2580645161
1761173988,50,,Aggregated,5.500000,0.000000,1900,2800,3000,3100,3600,3800,3800,3800,3800,3800,3800,46,0,1700.0,1894.5114826093904,4.272699996363372,3783.728299997165,484960.9347826087
1761173989,50,,Aggregated,5.500000,0.000000,1900,2800,3000,3500,3700,3800,4400,4400,4400,4400,4400,47,0,1900.0,1947.0824148943102,4.272699996363372,4365.345300000627,486810.44680851063
1761173990,50,,Aggregated,10.250000,0.000000,2800,3600,3900,4500,5300,5500,5700,5700,5700,5700,5700,66,0,2600.0,2598.2642878794154,4.272699996363372,5719.110700010788,424696.63636363635
1761173991,50,,Aggregated,9.400000,0.000000,2800,3700,4400,4600,5400,5700,6200,6200,6200,6200,6200,69,0,2800.0,2737.687639130973,4.272699996363372,6230.666800009203,422809.97101449274
1761173992,50,,Aggregated,10.666667,0.000000,3400,3800,4600,5300,5700,6200,6400,6400,6400,6400,6400,97,0,3400.0,3085.218476289679,4.272699996363372,6426.989300001878,353870.1030927835
1761173993,50,,Aggregated,9.571429,0.000000,3400,3800,4600,5300,6000,6400,6400,6400,7000,7000,7000,106,0,3100.0,3119.1107415101865,4.272699996363372,6951.2635999999475,345428.9528301887
1761173994,50,,Aggregated,11.500000,0.000000,3400,4000,4600,5300,5800,6400,6400,6400,7000,7000,7000,115,0,3400.0,3122.501287826985,4.272699996363372,6951.2635999999475,348264.31304347824
1761173995,50,,Aggregated,10.777778,0.000000,3200,3900,4500,4800,5700,6200,6400,6400,7000,7000,7000,126,0,3100.0,3051.537111112021,4.272699996363372,6951.2635999999475,340589.22222222225
1761173996,50,,Aggregated,11.200000,0.000000,2900,3600,4300,4600,5700,6200,6400,6400,7000,7000,7000,142,0,2800.0,2899.0602338037693,3.9092999941203743,6951.2635999999475,322390.22535211267
1761173997,50,,Aggregated,11.800000,0.000000,3000,3600,4300,4600,5600,6200,6400,6400,7000,7000,7000,151,0,3000.0,2889.117132451301,3.9092999941203743,6951.2635999999475,325929.1655629139
1761173998,50,,Aggregated,12.800000,0.000000,2800,3600,3900,4500,5600,6200,6400,6400,7000,7000,7000,165,0,2800.0,2800.4329066675077,3.9092999941203743,6951.2635999999475,312177.5878787879
1761173999,50,,Aggregated,11.900000,0.000000,2800,3500,3800,4300,5500,6100,6400,6400,7000,7000,7000,189,0,2800.0,2671.0433179899746,3.9092999941203743,6951.2635999999475,302883.5396825397
1761174000,50,,Aggregated,12.300000,0.000000,2400,3400,3600,3900,5400,6000,6400,6400,7000,7000,7000,206,0,2400.0,2543.666880582818,3.9092999941203743,6951.2635999999475,305747.3009708738
1761174001,50,,Aggregated,12.900000,0.000000,1900,3200,3600,3800,5300,5800,6400,6400,7000,7000,7000,228,0,1900.0,2354.1909706141987,3.9092999941203743,6951.2635999999475,301442.5570175439
1761174002,50,,Aggregated,13.600000,0.000000,1700,3000,3500,3700,5000,5700,6400,6400,7000,7000,7000,250,0,1700.0,2193.250118400203,3.9092999941203743,6951.2635999999475,300201.416
1761174003,50,,Aggregated,15.000000,0.000000,1600,2800,3500,3600,4700,5700,6400,6400,7000,7000,7000,268,0,1600.0,2056.410733582211,3.0088999919826165,6951.2635999999475,297206.37313432834
1761174004,50,,Aggregated,15.300000,0.000000,1400,2800,3400,3600,4600,5700,6400,6400,7000,7000,7000,285,0,1400.0,1943.0291392984943,3.0088999919826165,6951.2635999999475,287565.36140350875
1761174005,50,,Aggregated,16.300000,0.000000,1300,2600,3200,3600,4600,5700,6400,6400,7000,7000,7000,297,0,1300.0,1886.485361616419,3.0088999919826165,6951.2635999999475,285641.164983165
1761174006,50,,Aggregated,16.700000,0.000000,1300,2300,3200,3500,4500,5600,6200,6400,7000,7000,7000,313,0,1300.0,1854.5138805113643,3.0088999919826165,6951.2635999999475,285755.1980830671
1761174007,50,,Aggregated,17.500000,0.000000,1300,2300,3000,3500,4500,5600,6200,6400,7000,7000,7000,329,0,1300.0,1823.0598069909918,3.0088999919826165,6951.2635999999475,282371.99696048634
1761174008,50,,Aggregated,16.600000,0.000000,1300,2300,3000,3500,4400,5500,6200,6400,7000,7000,7000,342,0,1300.0,1812.0885654972126,3.0088999919826165,6951.2635999999475,280066.80994152045
1761174009,50,,Aggregated,17.800000,0.000000,1300,2300,3000,3400,4400,5500,6200,6400,7000,7000,7000,349,0,1300.0,1804.4940664758255,3.0088999919826165,6951.2635999999475,277757.0716332378
