Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1761176706,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1761176707,100,,Aggregated,0.000000,0.000000,60,130,160,160,180,190,200,200,200,200,200,200,200,60,81.47858099982841,4.97890000406187,199.34449999709614,142.68
1761176708,100,,Aggregated,0.000000,0.000000,30,89,130,160,180,190,200,200,200,200,200,247,247,30,67.27082469606177,1.5050000074552372,199.34449999709614,141.748987854251
1761176709,100,,Aggregated,200.000000,200.000000,21,57,110,130,160,190,190,200,200,200,200,300,300,21,56.34096299977197,1.5050000074552372,199.34449999709614,141.65666666666667
1761176710,100,,Aggregated,105.500000,105.500000,17,44,89,130,160,180,190,200,200,200,200,335,335,17,51.1312782086359,1.5050000074552372,199.34449999709614,141.22985074626865
1761176711,100,,Aggregated,88.333333,88.333333,13,31,62,110,160,180,190,200,200,200,200,389,389,13,45.116988174479026,1.5050000074552372,199.34449999709614,140.56298200514138
1761176712,100,,Aggregated,78.000000,78.000000,8,27,46,78,160,180,190,200,200,200,200,441,441,8,40.81985260740207,1.5050000074552372,199.34449999709614,139.73242630385488
1761176713,100,,Aggregated,71.600000,71.600000,5,23,45,62,160,180,190,200,200,200,200,486,486,5,37.760549588231925,1.5050000074552372,199.34449999709614,139.43827160493828
1761176714,100,,Aggregated,67.833333,67.833333,4,21,44,48,140,180,190,190,200,200,200,531,531,4,35.53522090368822,1.5050000074552372,199.34449999709614,138.4915254237288
1761176715,100,,Aggregated,65.857143,65.857143,4,17,43,46,130,160,190,190,200,200,200,582,582,4,32.90812577289682,1.5050000074552372,199.34449999709614,138.6701030927835
1761176716,100,,Aggregated,64.000000,64.000000,4,15,31,45,130,160,190,190,200,200,200,639,639,4,30.577824099824863,1.5050000074552372,199.34449999709614,138.61658841940533
1761176717,100,,Aggregated,61.666667,61.666667,3,12,27,44,120,160,190,190,200,200,200,685,685,3,28.869994160214468,1.5050000074552372,199.34449999709614,138.79124087591242
1761176718,100,,Aggregated,60.600000,60.600000,3,8,25,44,120,160,190,190,200,200,200,733,733,3,27.48140763943792,1.5050000074552372,199.34449999709614,138.60300136425647
1761176719,100,,Aggregated,45.100000,45.100000,3,6,23,44,100,160,190,190,200,200,200,787,787,3,26.087601397379853,1.5050000074552372,199.34449999709614,138.55273189326556
1761176720,100,,Aggregated,49.200000,49.200000,3,5,21,44,89,160,180,190,200,200,200,834,834,3,25.243320503265554,1.5050000074552372,199.34449999709614,138.0071942446043
1761176721,100,,Aggregated,49.300000,49.300000,3,5,19,43,78,160,180,190,200,200,200,887,887,3,24.21580507299782,1.5050000074552372,199.34449999709614,137.83427282976325
1761176722,100,,Aggregated,49.700000,49.700000,3,5,17,35,69,160,180,190,200,200,200,932,932,3,23.380219420355562,1.5050000074552372,199.34449999709614,137.85729613733906
1761176723,100,,Aggregated,48.900000,48.900000,3,4,16,31,62,160,180,190,200,200,200,983,983,3,22.450593895948465,1.5050000074552372,199.34449999709614,137.9857578840285
1761176724,100,,Aggregated,49.200000,49.200000,3,4,15,29,52,150,180,190,200,200,200,1038,1038,3,21.758724469887785,1.5050000074552372,199.34449999709614,137.7398843930636
1761176725,100,,Aggregated,48.800000,48.800000,3,4,13,26,48,140,180,190,200,200,200,1084,1084,3,21.004154151009686,1.5050000074552372,199.34449999709614,138.0350553505535
1761176726,100,,Aggregated,48.900000,48.900000,3,4,11,25,47,130,180,190,200,200,200,1141,1141,3,20.446091147843056,1.5050000074552372,199.34449999709614,137.6914986853637
1761176727,100,,Aggregated,49.700000,49.700000,3,4,10,25,47,130,180,190,200,200,200,1185,1185,3,20.009556033462875,1.5050000074552372,199.34449999709614,137.52573839662446
1761176728,100,,Aggregated,49.200000,49.200000,3,4,7,23,47,130,180,190,200,200,200,1229,1229,3,19.522727989923002,1.5050000074552372,199.34449999709614,137.61025223759154
1761176729,100,,Aggregated,50.300000,50.300000,3,4,7,21,46,130,180,190,200,200,200,1286,1286,3,19.027142456951218,1.5050000074552372,199.34449999709614,137.46111975116642
1761176730,100,,Aggregated,49.500000,49.500000,3,4,6,19,46,130,180,190,200,200,200,1333,1333,3,18.56532813177054,1.5050000074552372,199.34449999709614,137.53188297074269
1761176731,100,,Aggregated,48.700000,48.700000,3,4,5,18,46,120,160,190,200,200,200,1382,1382,3,18.170037771074448,1.5050000074552372,199.34449999709614,137.51953690303907
1761176732,100,,Aggregated,48.900000,48.900000,3,4,5,17,46,120,160,190,200,200,200,1435,1435,3,17.86984508680277,1.5050000074552372,199.34449999709614,137.2738675958188
1761176733,100,,Aggregated,50.100000,50.100000,3,4,5,17,46,110,160,190,200,200,200,1483,1483,3,17.588882602468107,1.5050000074552372,199.34449999709614,137.13755900202293
1761176734,100,,Aggregated,49.500000,49.500000,3,4,5,16,46,110,160,190,200,200,200,1529,1529,3,17.342949116714767,1.5050000074552372,199.34449999709614,136.9810333551341
1761176735,100,,Aggregated,49.700000,49.700000,3,4,5,16,46,100,160,190,200,200,200,1574,1574,3,17.076327382157032,1.5050000074552372,199.34449999709614,136.93519695044472
1761176736,100,,Aggregated,49.300000,49.300000,3,4,5,14,46,90,160,180,200,200,200,1633,1633,3,16.66917819934695,1.5050000074552372,199.34449999709614,137.03980404164116
1761176737,100,,Aggregated,48.900000,48.900000,3,4,5,13,46,89,160,180,200,200,200,1677,1677,3,16.384240130871117,1.5050000074552372,199.34449999709614,137.07692307692307
1761176738,100,,Aggregated,49.900000,49.900000,3,4,4,11,46,80,160,180,200,200,200,1737,1737,3,16.000529130341775,1.5050000074552372,199.34449999709614,137.24985607369027
1761176739,100,,Aggregated,48.600000,48.600000,3,4,4,11,45,78,160,180,200,200,200,1779,1779,3,15.771819111541191,1.5050000074552372,199.34449999709614,137.30466554243958
1761176740,100,,Aggregated,49.100000,49.100000,3,4,4,7,45,73,160,180,200,200,200,1836,1836,3,15.489025272032759,1.5050000074552372,199.34449999709614,137.31917211328977
1761176741,100,,Aggregated,50.200000,50.200000,3,4,4,7,45,67,160,180,200,200,200,1883,1883,3,15.204828836697878,1.5050000074552372,199.34449999709614,137.49654806160382
1761176742,100,,Aggregated,49.600000,49.600000,3,4,4,7,45,64,160,180,200,200,200,1935,1935,3,15.05327529689202,1.5050000074552372,199.34449999709614,137.35090439276485
1761176743,100,,Aggregated,49.800000,49.800000,3,4,4,6,45,60,160,180,200,200,200,1982,1982,3,14.809603834239645,1.5050000074552372,199.34449999709614,137.46720484359233
1761176744,100,,Aggregated,49.900000,49.900000,3,4,4,6,45,57,160,180,200,200,200,2035,2035,3,14.665906731936284,1.5050000074552372,199.34449999709614,137.32235872235873
1761176745,100,,Aggregated,49.700000,49.700000,3,4,4,5,45,51,160,180,200,200,200,2086,2086,3,14.444886337279177,1.5050000074552372,199.34449999709614,137.41035474592522
1761176746,100,,Aggregated,49.900000,49.900000,3,4,4,5,45,49,160,180,200,200,200,2131,2131,3,14.302168559170317,1.5050000074552372,199.34449999709614,137.36977944626935
1761176747,100,,Aggregated,50.100000,50.100000,3,4,4,5,45,49,160,180,200,200,200,2180,2180,3,14.206438348441676,1.5050000074552372,199.34449999709614,137.23348623853212
1761176748,100,,Aggregated,49.800000,49.800000,3,4,4,5,45,48,160,180,200,200,200,2234,2234,3,13.992930662293446,1.5050000074552372,199.34449999709614,137.31826320501344
1761176749,100,,Aggregated,50.600000,50.600000,3,4,4,5,45,48,160,180,200,200,200,2283,2280,3,13.895364958220588,1.5050000074552372,199.34449999709614,137.89268506351291
1761176750,100,,Aggregated,50.200000,50.200000,3,4,4,5,45,48,160,180,200,200,200,2320,2317,3,13.775107586040797,1.5050000074552372,199.34449999709614,137.91120689655173
1761176751,100,,Aggregated,49.800000,49.800000,3,4,4,5,45,48,160,180,200,200,200,2371,2368,3,13.668430493306428,1.5050000074552372,199.34449999709614,137.82665541965414
1761176752,100,,Aggregated,49.500000,49.200000,3,4,4,5,45,47,160,180,200,200,200,2420,2417,3,13.556384669269496,1.5050000074552372,199.34449999709614,137.77272727272728
1761176753,100,,Aggregated,48.300000,48.000000,3,4,4,5,45,47,160,180,200,200,200,2464,2461,3,13.439657913832805,1.5050000074552372,199.34449999709614,137.7711038961039
1761176754,100,,Aggregated,48.400000,48.100000,3,4,4,5,44,47,160,180,200,5600,5600,2521,2517,3,15.45964371271133,1.5050000074552372,5555.6511000031605,424.8258627528758
1761176755,100,,Aggregated,48.200000,47.900000,3,4,4,5,45,48,160,180,6000,6000,6000,2555,2533,3,29.355329902036846,1.5050000074552372,6033.343000002787,2121.2794520547945
1761176756,100,,Aggregated,47.400000,47.100000,3,4,4,5,45,48,160,180,6000,6000,6000,2562,2533,3,29.340131498714104,1.5050000074552372,6033.343000002787,2117.126463700234
1761176757,100,,Aggregated,48.600000,48.200000,3,4,4,5,45,48,160,180,6000,6000,6000,2568,2533,3,29.28331538151438,1.5050000074552372,6033.343000002787,2113.7056074766356
1761176758,100,,Aggregated,46.200000,43.800000,3,4,4,5,45,48,160,180,6000,6000,6000,2569,2533,3,29.273887894015925,1.5050000074552372,6033.343000002787,2113.1370182950564
1761176759,100,,Aggregated,41.600000,38.700000,3,4,4,5,45,48,160,180,6000,6000,6000,2571,2533,3,29.255682185811335,1.5050000074552372,6033.343000002787,2112.0011668611437
1761176760,100,,Aggregated,41.600000,38.700000,3,4,4,5,45,48,160,180,6000,6000,6000,2571,2533,3,29.255682185811335,1.5050000074552372,6033.343000002787,2112.0011668611437
